Rank,Country,iPhone,Android,MacBook,Windows Powered,PS4,Xbox one,iPad mini,Samsung tablet,40 inch smart TV,Apple Watch,Brand headphone,hard drive 2TB,Portable charger,Printer
1,Kuwait,641.5,539.18,795.38,528.34,315.83,418.5,242.9,250.98,383.6,242.9,196.95,89.03,2.44,52.36
2,Saudi Arabia,513.86,699.61,1054.98,686.88,317.86,254.24,380.47,152.44,406.93,381.48,338.22,114.27,4.83,30.03
3,Malaysia,532.06,631.66,1010.31,1022.67,299.83,355.47,232.87,354.99,324.87,248.43,175.48,116.16,11.41,108.69
4,Canada,555.25,625.04,1118.1,1081.4,274.25,233.14,237.34,392.89,364.3,259.21,159.71,87.12,9.24,57.13
5,United Arab Emirates,498.25,592.31,1073.3,1026.68,324.72,285.72,259.71,311.71,467.68,285.71,181.73,84.49,10.13,95.93
6,Qatar,608.71,736.68,964.36,991.45,315.57,249.72,236.61,352.87,420.85,262.93,262.28,99.75,14.48,60.27
7,Japan,413.58,548.37,1268.35,1156.57,298.9,319.88,269.57,276.77,552.42,254.22,195.42,193.97,5.35,84.72
8,USA,625.88,703.94,1241.63,925.69,307.63,317.27,224.2,287.53,578.61,288.34,192.86,179.26,12.51,46.97
9,Australia,574.5,616.66,1621.74,810.34,352.83,294.25,352.06,205.86,474.81,256.51,183.41,131.56,13.96,50.9
10,Poland,615,685.74,1372.21,1151.64,281.59,254.88,301.2,281.59,372.27,319.61,146.8,100.45,4,58.32
11,UK,542.29,786.83,1535.89,825.08,319.86,353.59,258.13,259.3,515.17,234.56,151.47,117.85,23.55,41.23
12,Hong Kong,583.89,745.95,1244.31,1095.71,358.79,311.64,260.16,291.65,444.09,260.16,224.02,82.85,9.72,72.24
13,Spain,686.14,634.83,1535.94,599.35,295.73,447.16,311.64,434.6,326.48,326.37,211.95,147.41,3.71,55.65
14,Pakistan,537.97,720.33,1048.64,1139.79,402.08,315.28,292.42,345.58,515.18,319.84,237.07,91.38,7.12,53.8
15,Colombia,655.11,943.57,909.56,875.16,470.06,282.19,251.01,121.1,564.14,366.83,293.76,158.24,43.12,92.69
16,Germany,613.74,719.74,1588.94,1192.45,316.94,263.94,306.34,232.14,296.79,338.14,148.39,104.94,10.59,63.59
17,Turkey,677.32,1012.22,1503.13,300.37,398.56,383.22,367.88,275.83,521.29,352.53,192.98,122.42,19.94,73.33
